X,company_name,main_activity,address,company_city,postcode,country,clustered,clustered_unit_ecoinvent,ecoinvent,group,sector,subsector,sector_ecoinvent_delimited,sector_ecoinvent,co2_products,input_1_sector_ecoinvent_delimited,input_2_sector_ecoinvent_delimited,input_3_sector_ecoinvent_delimited,companies_id,products_companies_id,products_id,delimited_products_id,delimited_id,clustered_delimited_id,clustered_id,main_activity_id,categories_id,categories_sector_ecoinvent_delimited_id,sector_ecoinvent_delimited_id,sector_ecoinvent_delimited_sector_ecoinvent_id,sector_ecoinvent_id,time,inputs,co2_input,id,relative_all,relative_unit,relative_sector,relative_sector_unit,TR_relative_all,TR_relative_unit,TR_relative_sector,TR_relative_sector_unit,low_TR_relative_all,medium_TR_relative_all,high_TR_relative_all,low_TR_relative_unit,medium_TR_relative_unit,high_TR_relative_unit,low_TR_relative_sector,medium_TR_relative_sector,high_TR_relative_sector,low_TR_relative_sector_unit,medium_TR_relative_sector_unit,high_TR_relative_sector_unit
11,hoche butter gmbh,wholesaler,im neuen felde 87 | 29525 uelzen,uelzen,29525,germany,edible fat,kg,market activity,construction_public_works,construction_structural_work,demolition_contractors,infrastructure & machinery,infrastructure & machinery chemicals,99.31,waste treatment & recycling,agriculture & animal husbandry,infrastructure & machinery,hoche-butter-gmbh_deu422723-693847001,6d99ec4ec8b0632e3b592b1d1f0db2573225c518,51fd115e98fc4ed5a5bafea0cb024a28df5f648b,51fd115e98fc4ed5a5bafea0cb024a28df5f648b,51fd115e98fc4ed5a5bafea0cb024a28df5f648b,6ab4a78298a10d3e9b7b0f1d48deb43969f0cd03,f807f0137263c45179258c3d8c979690f2930a48,8ca6b68c2345d945b795d58a4adbbddd934ce349,731a6075f2fd589bc5ccfb6ed4bebcb0986553f9,8f18023110c9454b9de693fb0f23c30a11fea611,fff49bd7f46c38c28dc6cbdcddf38daa3688823a,aef4b84b18f1af79d65b6bd407d9483f8b80adc2,980e30db0bf334829bbe233302fcea35b2b89da7,1,design of customised parts,53.04,11,0.6053639846743295,0.41762452107279696,0.4099616858237548,0.2835249042145594,medium,medium,medium,low,33.33333333333333,66.66666666666666,0,33.33333333333333,66.66666666666666,0,33.33333333333333,66.66666666666666,0,100,0,0
12,vicquelin espaces verts,missing,750 rue du lion | 27210 beuzeville,beuzeville,27210,france,landscaping services,m3,not_mapped,metallurgy_metalworking,steel_metal_transformation,shot_blasting_steels_and_metals,infrastructure & machinery,infrastructure & machinery fuels heat,4.44,agriculture & animal husbandry,cement & concrete,minerals,vicquelin-espaces-verts_fra697272-00101,e9dc85ad26800b07fa2653ba63dda456bdc68b15,1d5949ab72dfd0637f34c705c065f22070d340dd,9907218e568f6f39e2e5f18d09ee2a2f63c52c7e,858935854faedd3e30323ac1ab3e7e4f9f83901d,b22127f878d6f1bccca6cd57160cbab2e51a8134,858935854faedd3e30323ac1ab3e7e4f9f83901d,5a013c49508291c6816ac388f93a2c11973086ed,d86edc3879285e9bcb8be9950e823244f5504611,db9efc187c9d627229ac63097c55d261e5df6b83,fff49bd7f46c38c28dc6cbdcddf38daa3688823a,30bb54c904312367fe5c60b7c4910a3d87e7366a,56df1a55797a2c3b4cf3de07ac5c015a6616dc2d,1,uniforms,2.56,12,0.10727969348659004,0.03065134099616858,0.0842911877394636,0.02681992337164751,low,low,low,low,44.44444444444444,55.55555555555556,0,66.66666666666666,33.33333333333333,0,66.66666666666666,33.33333333333333,0,100,0,0
13,vicquelin espaces verts,missing,750 rue du lion | 27210 beuzeville,beuzeville,27210,france,gardening services,kg,not_mapped,construction_public_works,public_works,civil_engineering_contractors,infrastructure & machinery,infrastructure & machinery fuels,88.54,infrastructure & machinery,infrastructure & machinery,infrastructure & machinery,vicquelin-espaces-verts_fra697272-00101,e9dc85ad26800b07fa2653ba63dda456bdc68b15,1d5949ab72dfd0637f34c705c065f22070d340dd,abe7516f5d2c9e0eadda2801313146436df01c48,c431714a185dafc5430f48ffb5dbbfd8992a6529,14a0c8c5a3ce66fdee8d39fc9f65b8dfbe54b971,c431714a185dafc5430f48ffb5dbbfd8992a6529,5a013c49508291c6816ac388f93a2c11973086ed,61f8162b250165397c0f645f8f2cd0a7d00b075d,2b78a164ceefbee0686ada9298dbfaff23486fa9,fff49bd7f46c38c28dc6cbdcddf38daa3688823a,a5de22ddd2299135d518accf37673eae0f217ad5,0c0ea7be108e30647b9c3a64f13cb76977d6bf0a,1,metal trade,36.65,13,0.4482758620689655,0.3065134099616858,0.31417624521072796,0.21455938697318008,medium,medium,medium,low,44.44444444444444,55.55555555555556,0,66.66666666666666,33.33333333333333,0,66.66666666666666,33.33333333333333,0,100,0,0
14,vicquelin espaces verts,missing,750 rue du lion | 27210 beuzeville,beuzeville,27210,france,open space amenities,kg,not_mapped,construction_public_works,windows,NA,infrastructure & machinery,infrastructure & machinery waste treatment & recycling,88.98,infrastructure & machinery,infrastructure & machinery,infrastructure & machinery,vicquelin-espaces-verts_fra697272-00101,6a2e2f6c56f7a7e9dc7bb5385f1b9785f2f6fc86,707938a8d64b3ee8f879b2fb3c032c6ab4547dad,707938a8d64b3ee8f879b2fb3c032c6ab4547dad,707938a8d64b3ee8f879b2fb3c032c6ab4547dad,1394a26a921ab5bd5dd19ed324910425f18ef46d,707938a8d64b3ee8f879b2fb3c032c6ab4547dad,5a013c49508291c6816ac388f93a2c11973086ed,86dc7bc9ee6a02f44f9b9b91909b95e0a26b5112,d1b5ffe573f3e3ccbbbcb9a0fec9c67e9adf0a7f,fff49bd7f46c38c28dc6cbdcddf38daa3688823a,cab406f0a14fc8f574ab526ad1e5d672b6a8ac6a,de60bb4bf7f4c07489af068e0ee566826afb3a5c,1,wholesale of parquet,45.5,14,0.5593869731800766,0.3793103448275862,0.3831417624521073,0.26053639846743293,medium,medium,medium,low,44.44444444444444,55.55555555555556,0,66.66666666666666,33.33333333333333,0,66.66666666666666,33.33333333333333,0,100,0,0
15,bst procontrol gmbh,manufacturer/ producer,industriestrasse 1 | 57482 wenden,wenden,57482,germany,"vehicles, telematics",m3,ordinary transforming activity,metallurgy_metalworking,steel_metal_transformation,varnishing_steels_and_metals,metals,metals waste treatment & recycling,63.21,infrastructure & machinery,infrastructure & machinery,infrastructure & machinery,bst-procontrol-gmbh_00000005104947-001,319de3c7271fdd06cc5cd91fdb6aee2f1f87ee1b,c7315bfadb301030545e2e46f06480b39d2b1429,ef24a6aa79b876819935712cd710e216a2ac2e46,e200ad4cccfaecd44be644b0e693f20f55daa3a3,11592b683a9a01f402f9f69a84f9c4916aac1f66,e200ad4cccfaecd44be644b0e693f20f55daa3a3,fd62c01c0168c1f02250969af71e56bf0ea681f5,709152bdf8c858750aba80267cfcd8073bab4d4d,0d9ef58e9696104bfd94b1a5e3af7b330d48be84,059cd1abf26b7bc46af1550003fa691c12a200a1,c581b671ded6d0dbe23313cba8f4e0a0ea434487,09e1a00d2d33ebd2a11900075f8b8ad562045a72,1,padlocks,15.34,15,0.24521072796934865,0.06513409961685823,0.019157088122605363,0.0038314176245210726,low,low,low,low,28.57142857142857,45.23809523809524,26.190476190476193,61.904761904761905,38.095238095238095,0,80.95238095238095,19.047619047619047,0,90.47619047619048,9.523809523809524,0
16,bst procontrol gmbh,manufacturer/ producer,industriestrasse 1 | 57482 wenden,wenden,57482,germany,"measurement equipment, pressure",kg,ordinary transforming activity,glass_construction_materials,construction_materials,cements_special,cement & concrete,metals cement & concrete,38.64,electricity,infrastructure & machinery,infrastructure & machinery,bst-procontrol-gmbh_00000005104947-001,9b13b9dba2d98518ce58dec5fe6a2a5e4e8489a3,c345ec0e08b949740286f740fa6b5e96050345bf,d33f2d5b3a938cc424d4551df84b9bd218ed69b4,82b390de4132e72217fc273a57cee5cbc5ad4e9c,27d5f6a6978b3d7c9fd283434b9235549e17a564,82b390de4132e72217fc273a57cee5cbc5ad4e9c,fd62c01c0168c1f02250969af71e56bf0ea681f5,e0c80af288212164aab518368d3d01061c6d7760,77d4b71a451e41c97e6c2de78b21abcbb96bd959,28b25f844091368fd45f95b465f66716aef7c501,3083dc6c574a87c04381b695ddb1f4b2ce38798e,e6d6b596e83b5a4cefb6a12d4822e0f270943b7b,1,calves,39.07,16,0.47509578544061304,0.31800766283524906,0.007662835249042145,0.007662835249042145,medium,medium,low,low,28.57142857142857,45.23809523809524,26.190476190476193,61.904761904761905,38.095238095238095,0,80.95238095238095,19.047619047619047,0,90.47619047619048,9.523809523809524,0
17,bst procontrol gmbh,manufacturer/ producer,industriestrasse 1 | 57482 wenden,wenden,57482,germany,"measurement instruments, pressure",kg,ordinary transforming activity,metallurgy_metalworking,steel_metals,bells_casting,infrastructure & machinery,infrastructure & machinery transport,87.83,electronics,infrastructure & machinery,infrastructure & machinery,bst-procontrol-gmbh_00000005104947-001,9b13b9dba2d98518ce58dec5fe6a2a5e4e8489a3,c345ec0e08b949740286f740fa6b5e96050345bf,f30305070d69c75339321c028b9d7037b7bfdc4a,ca65e6d8848ac08f1b71e130e337ec991e8b5c18,07a94da8ee7774ad0692d0626da673a1128086dc,ca65e6d8848ac08f1b71e130e337ec991e8b5c18,fd62c01c0168c1f02250969af71e56bf0ea681f5,6e06824e10005f53e6c19bc27c520a4572783a5f,ae86a5c12c2a22b4aece62cef4e6afd82b3c1f14,fff49bd7f46c38c28dc6cbdcddf38daa3688823a,2ac3ff73ef549bf80f2356c288f6f7170e5fc628,7ed0855a906be706ebf375a90c47f080611dee83,1,"fountains, park",10.65,17,0.18773946360153257,0.1417624521072797,0.1417624521072797,0.10344827586206896,low,low,low,low,28.57142857142857,45.23809523809524,26.190476190476193,61.904761904761905,38.095238095238095,0,80.95238095238095,19.047619047619047,0,90.47619047619048,9.523809523809524,0
18,bst procontrol gmbh,manufacturer/ producer,industriestrasse 1 | 57482 wenden,wenden,57482,germany,"regulation equipment, pressure",m3,ordinary transforming activity,food_related_products,food_processing,foods_health,agriculture & animal husbandry,resource extraction minerals agriculture & animal husbandry,37.7,infrastructure & machinery,infrastructure & machinery,infrastructure & machinery,bst-procontrol-gmbh_00000005104947-001,9b13b9dba2d98518ce58dec5fe6a2a5e4e8489a3,c345ec0e08b949740286f740fa6b5e96050345bf,8521d447c28a3aa048b93f7d8f251d4edc568970,67a9f2d3c248f38d013b2960d4eaff4ff1e1c8d5,91dcc2bfece648d14751dee9d89b831d2c39f1f6,67a9f2d3c248f38d013b2960d4eaff4ff1e1c8d5,fd62c01c0168c1f02250969af71e56bf0ea681f5,8a43d61ad11686b2240dc8cce88594edfdf6a295,087a23e1f2fbf1340f2073f488a7f0fe6f637c2a,6cab14408b4e9298a6255076bc425621d67ffbb6,c1561082c1139ed474aa1476a2c169f1d8ba3bdf,275118c9b7bcb1c6f79a8d414d3521369df3805a,1,corking machine,93.59,18,0.9233716475095786,0.3103448275862069,0.13409961685823754,0.06513409961685823,high,medium,low,low,28.57142857142857,45.23809523809524,26.190476190476193,61.904761904761905,38.095238095238095,0,80.95238095238095,19.047619047619047,0,90.47619047619048,9.523809523809524,0
19,bst procontrol gmbh,manufacturer/ producer,industriestrasse 1 | 57482 wenden,wenden,57482,germany,"regulation instruments, pressure",kg,ordinary transforming activity,metallurgy_metalworking,steel_metal_transformation,extrusion_steel_and_metals,infrastructure & machinery,infrastructure & machinery wood,99.75,infrastructure & machinery,cement & concrete,infrastructure & machinery,bst-procontrol-gmbh_00000005104947-001,9b13b9dba2d98518ce58dec5fe6a2a5e4e8489a3,c345ec0e08b949740286f740fa6b5e96050345bf,f2e94f291d3f0e161864ae0e53c3143dbb7fdebc,4d2a76a4cd71a70fccbd41eee995212f7beca96a,29ab8921dc5f97d01e12e4b9a1d72781b16dcdd3,4d2a76a4cd71a70fccbd41eee995212f7beca96a,fd62c01c0168c1f02250969af71e56bf0ea681f5,ee1aabf520b1afaf4b4fe23f38b25f764cdd9eb9,f7d10ad46c910f5689fb2bd62c6e18b4280128f0,fff49bd7f46c38c28dc6cbdcddf38daa3688823a,bf609eb0910fdba12d232d264fbb970d73bafe85,e6f6dab6bad15989004faba886c565d7be08e686,1,einkorn wheat in big-bag,44.52,19,0.5440613026819924,0.367816091954023,0.37547892720306514,0.25287356321839083,medium,medium,medium,low,28.57142857142857,45.23809523809524,26.190476190476193,61.904761904761905,38.095238095238095,0,80.95238095238095,19.047619047619047,0,90.47619047619048,9.523809523809524,0
20,bst procontrol gmbh,manufacturer/ producer,industriestrasse 1 | 57482 wenden,wenden,57482,germany,"measurement equipment, output flow",kg,ordinary transforming activity,glass_construction_materials,glass,packaging_glass,minerals,infrastructure & machinery minerals,39.82,infrastructure & machinery,infrastructure & machinery,infrastructure & machinery,bst-procontrol-gmbh_00000005104947-001,62b8d1bf27ebd0a8c5ecaf528d439dfffe194414,bd600a45c4a0baec579dfa3fd28f5dc8ab0929e2,c0310f1bdf3ad9847bc51771ad39378cd0a8026f,fe21e9fa9c5b7ec2e2a5da15ec8d183caf04dcf0,6700c93d28d4f6c29ada659195647e9c25db5a1e,fe21e9fa9c5b7ec2e2a5da15ec8d183caf04dcf0,fd62c01c0168c1f02250969af71e56bf0ea681f5,a446ee87689062fd2435c1317e37167931a37f4d,814f0ff5ae7e3fee7f8b372b501985d94da45cb1,b4d19a5eafe6de34ff8436e939e2f2b78171d1ab,d5a1c7a326289644832f69a9ab1a4056e6e5bb3e,bcd9fd9fc1d4d1722145b24e07b738e6e53c1715,1,gas tungsten arc welding,40.04,20,0.4789272030651341,0.3218390804597701,0.022988505747126436,0.019157088122605363,medium,medium,low,low,28.57142857142857,45.23809523809524,26.190476190476193,61.904761904761905,38.095238095238095,0,80.95238095238095,19.047619047619047,0,90.47619047619048,9.523809523809524,0
